market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-DOGE,breakout_close_k05,207,-51.70831125315939,-51.70831125315939,21.49122807017544,-8.709514155970615
KRW-STORJ,sma_cross_20_80,30,-23.754827836301807,-36.1508759887146,31.794871794871792,-0.5664292121294583
KRW-STORJ,ema_cross_12_48,47,-33.665671218738616,-55.21993671103998,30.663780663780667,-0.8675333016499038
KRW-STORJ,trend_sma50_200,78,-48.98790905216188,-50.032358630662955,28.990228013029316,-2.817375679201592
KRW-STORJ,donchian_20_10,31,-13.684650002314092,-38.88440858606255,30.729701952723538,-0.09230215928179106
KRW-STORJ,momentum_24_120,110,-43.134788260366044,-56.62831459426256,29.690346083788704,-1.678273638354845
KRW-STORJ,rsi_reversion_30_55,45,1.6046693161282155,-23.106138166948064,33.70786516853933,0.34906630494624635
KRW-STORJ,bb_reversion_20_2,53,34.98504610785784,-14.290227113095055,36.61971830985916,2.0083783979797594
KRW-STORJ,breakout_close_k05,286,-58.744573639213904,-66.05648507264526,21.818181818181817,-4.3661437147983175
KRW-SAHARA,sma_cross_20_80,21,61.67347990883654,-34.23363581841912,42.245199409158054,1.71424510009017
KRW-SAHARA,ema_cross_12_48,34,101.47724747357528,-34.5512668022627,41.13090627420604,2.178016722235135
KRW-SAHARA,trend_sma50_200,49,8.965027338988452,-42.01872210254286,41.47909967845659,0.7785202068711721
KRW-SAHARA,donchian_20_10,36,-2.476141508606844,-41.83669229999819,39.273049645390074,0.5114217276567253
KRW-SAHARA,momentum_24_120,89,-19.419552102735203,-45.239772087731545,40.0,0.09028663926920051
KRW-SAHARA,rsi_reversion_30_55,52,-13.07463008695301,-44.64066600575273,40.83570750237417,-0.09823174797703361
KRW-SAHARA,bb_reversion_20_2,48,5.173087306669122,-22.306651359498296,42.214111922141115,0.5418582849022463
KRW-SAHARA,breakout_close_k05,272,-38.64254855824791,-52.70387720848362,38.368580060422964,-1.3794825474960164
KRW-FF,sma_cross_20_80,32,-63.37089914872522,-67.60875215333691,28.888888888888886,-4.080632228468588
KRW-FF,ema_cross_12_48,58,-52.225255399104874,-63.94717819642661,28.01652892561983,-0.6808006612919947
KRW-FF,trend_sma50_200,83,-42.894433708464554,-59.56367828304342,28.007518796992482,-0.43689799570973276
KRW-FF,donchian_20_10,31,-49.65348143035515,-54.475491658764,26.455906821963392,-0.5994157340354874
KRW-FF,momentum_24_120,136,-61.50282051619315,-71.26502861530778,26.902654867256636,-1.1157677571590012
KRW-FF,rsi_reversion_30_55,45,16.53636015855413,-19.399587867333313,31.968295904887718,1.1650049269110028
KRW-FF,bb_reversion_20_2,58,34.88882830842854,-17.37559372779063,34.12112259970458,2.2462802960162356
KRW-FF,breakout_close_k05,266,-44.245552179963724,-68.82521031987332,19.230769230769234,-0.553011119909054
KRW-SOL,sma_cross_20_80,23,-13.03399845466523,-24.402078360451608,45.46732255797611,-0.9096417121125152
KRW-SOL,ema_cross_12_48,42,-21.41034527543384,-32.26391481705249,44.20600858369099,-1.6696786591993948
KRW-SOL,trend_sma50_200,56,-15.689205507195814,-22.48099229334305,43.80165289256198,-1.753934235363491
KRW-SOL,donchian_20_10,39,-17.20000627562137,-25.94403880998053,44.95985727029438,-1.4026859979634914
KRW-SOL,momentum_24_120,72,-13.070998377404786,-20.825006721648474,44.48669201520912,-1.4616323161695899
KRW-SOL,rsi_reversion_30_55,44,-42.21102836241363,-43.38381275286295,43.438453713123096,-3.72133622655733
KRW-SOL,bb_reversion_20_2,54,-36.635298861068165,-39.48681961907221,43.4878587196468,-3.2381987674405845
KRW-SOL,breakout_close_k05,270,-30.280326276705228,-30.675497520980667,37.45819397993311,-5.249321510613237
KRW-ONDO,sma_cross_20_80,30,-1.0072809036488328,-33.276071697038965,41.01123595505618,0.24614984008851984
KRW-ONDO,ema_cross_12_48,44,-12.357229368680422,-42.53976503939434,40.38179148311307,-0.3310708675811333
KRW-ONDO,trend_sma50_200,52,10.399356019547445,-28.896787712883455,39.970059880239525,0.8504278802925072
KRW-ONDO,donchian_20_10,41,-27.254534029535204,-47.67804113067777,39.28905519176801,-1.3517858876731177
KRW-ONDO,momentum_24_120,88,-19.79362658874625,-40.6354639213229,39.61988304093567,-1.090649645025274
KRW-ONDO,rsi_reversion_30_55,50,-37.10867649950067,-42.0157855120173,39.76945244956772,-2.670834738457156
KRW-ONDO,bb_reversion_20_2,47,-20.049161390748903,-26.24538921224422,40.7035175879397,-1.4086517796464726
KRW-ONDO,breakout_close_k05,261,-5.015302305934544,-19.285464882814342,41.66666666666667,-0.23181744569389423
KRW-SUI,sma_cross_20_80,21,-14.411551338305939,-34.6179381199799,44.61778471138845,-0.6946303050141637
KRW-SUI,ema_cross_12_48,38,-8.509751938862165,-32.72126264628996,44.78577202910267,-0.2642801387203651
KRW-SUI,trend_sma50_200,36,16.01046442956182,-20.052535779121982,47.2318339100346,1.2761658017432216
KRW-SUI,donchian_20_10,41,-22.541624527919534,-39.85827061121766,43.18869828456105,-1.3613208613859298
KRW-SUI,momentum_24_120,72,0.5444643918766978,-28.564958859555702,44.3859649122807,0.236088480787461
KRW-SUI,rsi_reversion_30_55,52,-31.6530297815491,-46.09142916999017,45.645645645645644,-2.2228761530858803
KRW-SUI,bb_reversion_20_2,56,-12.743753339474361,-27.523756872478998,47.146118721461185,-0.7308347563842313
KRW-SUI,breakout_close_k05,258,-23.24835641929609,-33.05946439238882,39.935064935064936,-2.524705853416055
KRW-XLM,sma_cross_20_80,23,-14.584424555943832,-25.633813290002706,36.03082851637765,-1.0088878258992373
KRW-XLM,ema_cross_12_48,34,-15.182840192883074,-26.914205572514728,37.01657458563536,-0.9702203844648984
KRW-XLM,trend_sma50_200,47,-18.480602011461123,-26.809188234277016,34.48275862068966,-2.0626271785960655
KRW-XLM,donchian_20_10,28,-17.858947280650426,-29.949151219668124,35.21400778210117,-1.2472338675539434
KRW-XLM,momentum_24_120,72,-14.62055513444337,-21.739656773976577,36.52694610778443,-1.4143405808666403
KRW-XLM,rsi_reversion_30_55,53,-20.487837395219866,-26.033343688490383,33.27205882352941,-1.500672004632413
KRW-XLM,bb_reversion_20_2,58,6.577079531373875,-16.731517509727624,35.11543134872418,0.7133896018850273
